,sound,condition,response,predictability,sentences,response_words,sentence_words,word_count
335,1,b,the boy gave the football a kick,(H),a rose bush has prickly thorns.,"['the', 'boy', 'gave', 'the', 'football', 'a', 'kick']","['a', 'rose', 'bush', 'has', 'prickly', 'thorns', '.']",1
336,1,b,a lord pushes ,(H),a rose bush has prickly thorns.,"['a', 'lord', 'pushes']","['a', 'rose', 'bush', 'has', 'prickly', 'thorns', '.']",1
334,1,a,a rosebush have prickley thornes,(H),a rose bush has prickly thorns.,"['a', 'rosebush', 'have', 'prickly', 'thorns']","['a', 'rose', 'bush', 'has', 'prickly', 'thorns', '.']",3
333,1,a,a rosebush has prickly thorns,(H),a rose bush has prickly thorns.,"['a', 'rosebush', 'has', 'prickly', 'thorns']","['a', 'rose', 'bush', 'has', 'prickly', 'thorns', '.']",4
332,1,a,a rose          soon,(H),a rose bush has prickly thorns.,"['a', 'rose', 'soon']","['a', 'rose', 'bush', 'has', 'prickly', 'thorns', '.']",2
331,1,a,the rose bushes quickly thorns.,(H),a rose bush has prickly thorns.,"['the', 'rose', 'bushes', 'quickly', 'thorns', '.']","['a', 'rose', 'bush', 'has', 'prickly', 'thorns', '.']",3
339,1,b,i have spoken about the pile,(H),a rose bush has prickly thorns.,"['i', 'have', 'spoken', 'about', 'the', 'pile']","['a', 'rose', 'bush', 'has', 'prickly', 'thorns', '.']",0
337,1,b,you are considering the gag,(H),a rose bush has prickly thorns.,"['you', 'are', 'considering', 'the', 'gag']","['a', 'rose', 'bush', 'has', 'prickly', 'thorns', '.']",0
330,1,a,a rosebush has pricky thorns,(H),a rose bush has prickly thorns.,"['a', 'rosebush', 'has', 'prick', 'thorns']","['a', 'rose', 'bush', 'has', 'prickly', 'thorns', '.']",3
338,1,b,bill might discuss the firm,(H),a rose bush has prickly thorns.,"['bill', 'might', 'discuss', 'the', 'firm']","['a', 'rose', 'bush', 'has', 'prickly', 'thorns', '.']",0
40,10,a,you are considering the gang,(L),you were considering the gang.,"['you', 'are', 'considering', 'the', 'gang']","['you', 'were', 'considering', 'the', 'gang', '.']",4
41,10,a,you are considering the gang.,(L),you were considering the gang.,"['you', 'are', 'considering', 'the', 'gang', '.']","['you', 'were', 'considering', 'the', 'gang', '.']",5
42,10,a,you are considering the gum.,(L),you were considering the gang.,"['you', 'are', 'considering', 'the', 'gum', '.']","['you', 'were', 'considering', 'the', 'gang', '.']",4
43,10,a,you are considering the gang,(L),you were considering the gang.,"['you', 'are', 'considering', 'the', 'gang']","['you', 'were', 'considering', 'the', 'gang', '.']",4
48,10,b,the sailor swapped the deck,(L),you were considering the gang.,"['the', 'sailor', 'swapped', 'the', 'deck']","['you', 'were', 'considering', 'the', 'gang', '.']",2
46,10,b,you are considering the game,(L),you were considering the gang.,"['you', 'are', 'considering', 'the', 'game']","['you', 'were', 'considering', 'the', 'gang', '.']",3
45,10,b,they marched to the beat of the drum,(L),you were considering the gang.,"['they', 'marched', 'to', 'the', 'beat', 'of', 'the', 'drum']","['you', 'were', 'considering', 'the', 'gang', '.']",2
49,10,b,the bomb exploded with a blast,(L),you were considering the gang.,"['the', 'bomb', 'exploded', 'with', 'a', 'blast']","['you', 'were', 'considering', 'the', 'gang', '.']",1
44,10,a,you are considering the gang,(L),you were considering the gang.,"['you', 'are', 'considering', 'the', 'gang']","['you', 'were', 'considering', 'the', 'gang', '.']",4
47,10,b,bill heard tom call about the coach,(L),you were considering the gang.,"['bill', 'heard', 'tom', 'call', 'about', 'the', 'coach']","['you', 'were', 'considering', 'the', 'gang', '.']",1
289,11,b,they have a problem with the lem,(H),after his bath he wore a robe.,"['they', 'have', 'a', 'problem', 'with', 'the', 'lem']","['after', 'his', 'bath', 'he', 'wore', 'a', 'robe', '.']",1
288,11,b,the old man thinks about the must,(H),after his bath he wore a robe.,"['the', 'old', 'man', 'thinks', 'about', 'the', 'must']","['after', 'his', 'bath', 'he', 'wore', 'a', 'robe', '.']",0
287,11,b,jame has a problem with a coin,(H),after his bath he wore a robe.,"['came', 'has', 'a', 'problem', 'with', 'a', 'coin']","['after', 'his', 'bath', 'he', 'wore', 'a', 'robe', '.']",2
286,11,b,,(H),after his bath he wore a robe.,[],"['after', 'his', 'bath', 'he', 'wore', 'a', 'robe', '.']",0
285,11,b,we should have considered the proof,(H),after his bath he wore a robe.,"['we', 'should', 'have', 'considered', 'the', 'proof']","['after', 'his', 'bath', 'he', 'wore', 'a', 'robe', '.']",0
283,11,a,after his bath he wore a robe,(H),after his bath he wore a robe.,"['after', 'his', 'bath', 'he', 'wore', 'a', 'robe']","['after', 'his', 'bath', 'he', 'wore', 'a', 'robe', '.']",7
282,11,a,after his bath he wore a robe.,(H),after his bath he wore a robe.,"['after', 'his', 'bath', 'he', 'wore', 'a', 'robe', '.']","['after', 'his', 'bath', 'he', 'wore', 'a', 'robe', '.']",8
281,11,a,after this party wore a robe.,(H),after his bath he wore a robe.,"['after', 'this', 'party', 'wore', 'a', 'robe', '.']","['after', 'his', 'bath', 'he', 'wore', 'a', 'robe', '.']",5
280,11,a,after his bath he wore a rope,(H),after his bath he wore a robe.,"['after', 'his', 'bath', 'he', 'wore', 'a', 'rope']","['after', 'his', 'bath', 'he', 'wore', 'a', 'robe', '.']",6
284,11,a,"after his bath, he wore a robe",(H),after his bath he wore a robe.,"['after', 'his', 'bath', ',', 'he', 'wore', 'a', 'robe']","['after', 'his', 'bath', 'he', 'wore', 'a', 'robe', '.']",7
150,12,a,nancy should consider the fist,(L),nancy should consider the fist.					,"['nancy', 'should', 'consider', 'the', 'fist']","['nancy', 'should', 'consider', 'the', 'fist', '.']",5
157,12,b,the rose bush has prickly thorns,(L),nancy should consider the fist.					,"['the', 'rose', 'bush', 'has', 'prickly', 'thorns']","['nancy', 'should', 'consider', 'the', 'fist', '.']",1
156,12,b,nancy should consider the guest,(L),nancy should consider the fist.					,"['nancy', 'should', 'consider', 'the', 'guest']","['nancy', 'should', 'consider', 'the', 'fist', '.']",4
155,12,b,bob could have known about the squeal,(L),nancy should consider the fist.					,"['bob', 'could', 'have', 'known', 'about', 'the', 'squeal']","['nancy', 'should', 'consider', 'the', 'fist', '.']",1
154,12,a,nancy should consider the fist,(L),nancy should consider the fist.					,"['nancy', 'should', 'consider', 'the', 'fist']","['nancy', 'should', 'consider', 'the', 'fist', '.']",5
159,12,b,the sailor swapped the deck,(L),nancy should consider the fist.					,"['the', 'sailor', 'swapped', 'the', 'deck']","['nancy', 'should', 'consider', 'the', 'fist', '.']",2
158,12,b,jane has a problem with the coins,(L),nancy should consider the fist.					,"['jane', 'has', 'a', 'problem', 'with', 'the', 'coins']","['nancy', 'should', 'consider', 'the', 'fist', '.']",1
152,12,a,nancy should consider the fess.,(L),nancy should consider the fist.					,"['nancy', 'should', 'consider', 'the', 'fess', '.']","['nancy', 'should', 'consider', 'the', 'fist', '.']",5
151,12,a,nancy should consider a fist.,(L),nancy should consider the fist.					,"['nancy', 'should', 'consider', 'a', 'fist', '.']","['nancy', 'should', 'consider', 'the', 'fist', '.']",5
153,12,a,nancy should have considered the fist,(L),nancy should consider the fist.					,"['nancy', 'should', 'have', 'considered', 'the', 'fist']","['nancy', 'should', 'consider', 'the', 'fist', '.']",4
80,13,a,"i can't guess, so give me a hint",(H),"i cannot guess, so give me a hint.","['i', 'ca', 'not', 'guess', ',', 'so', 'give', 'me', 'a', 'hint']","['i', 'can', 'not', 'guess', ',', 'so', 'give', 'me', 'a', 'hint', '.']",9
82,13,a,"i count this, so give me a hint.",(H),"i cannot guess, so give me a hint.","['i', 'count', 'this', ',', 'so', 'give', 'me', 'a', 'hint', '.']","['i', 'can', 'not', 'guess', ',', 'so', 'give', 'me', 'a', 'hint', '.']",8
83,13,a,i can't guess so give me a hint,(H),"i cannot guess, so give me a hint.","['i', 'ca', 'not', 'guess', 'so', 'give', 'me', 'a', 'hint']","['i', 'can', 'not', 'guess', ',', 'so', 'give', 'me', 'a', 'hint', '.']",8
84,13,a,i cant guess so give me a hint,(H),"i cannot guess, so give me a hint.","['i', 'cant', 'guess', 'so', 'give', 'me', 'a', 'hint']","['i', 'can', 'not', 'guess', ',', 'so', 'give', 'me', 'a', 'hint', '.']",7
85,13,b,ruth hopes he heard about the hips,(H),"i cannot guess, so give me a hint.","['ruth', 'hopes', 'he', 'heard', 'about', 'the', 'hips']","['i', 'can', 'not', 'guess', ',', 'so', 'give', 'me', 'a', 'hint', '.']",0
86,13,b,"i can't guess, so give me a hint",(H),"i cannot guess, so give me a hint.","['i', 'ca', 'not', 'guess', ',', 'so', 'give', 'me', 'a', 'hint']","['i', 'can', 'not', 'guess', ',', 'so', 'give', 'me', 'a', 'hint', '.']",9
87,13,b,this nozzle sprays a fine mist,(H),"i cannot guess, so give me a hint.","['this', 'nozzle', 'sprays', 'a', 'fine', 'mist']","['i', 'can', 'not', 'guess', ',', 'so', 'give', 'me', 'a', 'hint', '.']",1
81,13,a,i can't guess so give me a hint.,(H),"i cannot guess, so give me a hint.","['i', 'ca', 'not', 'guess', 'so', 'give', 'me', 'a', 'hint', '.']","['i', 'can', 'not', 'guess', ',', 'so', 'give', 'me', 'a', 'hint', '.']",9
89,13,b,nancy should consider the fish,(H),"i cannot guess, so give me a hint.","['nancy', 'should', 'consider', 'the', 'fish']","['i', 'can', 'not', 'guess', ',', 'so', 'give', 'me', 'a', 'hint', '.']",0
88,13,b,mary could not discuss the tag,(H),"i cannot guess, so give me a hint.","['mary', 'could', 'not', 'discuss', 'the', 'tag']","['i', 'can', 'not', 'guess', ',', 'so', 'give', 'me', 'a', 'hint', '.']",1
359,14,b,tom is talking about the fee,(H),the soup was served in a bowl.,"['tom', 'is', 'talking', 'about', 'the', 'fee']","['the', 'soup', 'was', 'served', 'in', 'a', 'bowl', '.']",1
357,14,b,bill might discuss the fern,(H),the soup was served in a bowl.,"['bill', 'might', 'discuss', 'the', 'fern']","['the', 'soup', 'was', 'served', 'in', 'a', 'bowl', '.']",1
356,14,b,a soup was served with bowl,(H),the soup was served in a bowl.,"['a', 'soup', 'was', 'served', 'with', 'bowl']","['the', 'soup', 'was', 'served', 'in', 'a', 'bowl', '.']",5
355,14,b,tom will discuss the swan,(H),the soup was served in a bowl.,"['tom', 'will', 'discuss', 'the', 'swan']","['the', 'soup', 'was', 'served', 'in', 'a', 'bowl', '.']",1
354,14,a,the soup was served i a bowl,(H),the soup was served in a bowl.,"['the', 'soup', 'was', 'served', 'i', 'a', 'bowl']","['the', 'soup', 'was', 'served', 'in', 'a', 'bowl', '.']",6
353,14,a,the soup was served in a bowl,(H),the soup was served in a bowl.,"['the', 'soup', 'was', 'served', 'in', 'a', 'bowl']","['the', 'soup', 'was', 'served', 'in', 'a', 'bowl', '.']",7
352,14,a,the soup is served in the boul.,(H),the soup was served in a bowl.,"['the', 'soup', 'is', 'served', 'in', 'the', 'soul', '.']","['the', 'soup', 'was', 'served', 'in', 'a', 'bowl', '.']",6
351,14,a,the soup was served in a bowl.,(H),the soup was served in a bowl.,"['the', 'soup', 'was', 'served', 'in', 'a', 'bowl', '.']","['the', 'soup', 'was', 'served', 'in', 'a', 'bowl', '.']",8
350,14,a,the soup was served in a bowl,(H),the soup was served in a bowl.,"['the', 'soup', 'was', 'served', 'in', 'a', 'bowl']","['the', 'soup', 'was', 'served', 'in', 'a', 'bowl', '.']",7
358,14,b,the rosebush has pricky thorns,(H),the soup was served in a bowl.,"['the', 'rosebush', 'has', 'prick', 'thorns']","['the', 'soup', 'was', 'served', 'in', 'a', 'bowl', '.']",1
320,15,a,i've spoken about the pile,(L),i have spoken about the pile.,"['i', ""i've"", 'spoken', 'about', 'the', 'pile']","['i', 'have', 'spoken', 'about', 'the', 'pile', '.']",5
321,15,a,i have spoken about the pile.,(L),i have spoken about the pile.,"['i', 'have', 'spoken', 'about', 'the', 'pile', '.']","['i', 'have', 'spoken', 'about', 'the', 'pile', '.']",7
322,15,a,i've spoken about the pile.,(L),i have spoken about the pile.,"['i', ""i've"", 'spoken', 'about', 'the', 'pile', '.']","['i', 'have', 'spoken', 'about', 'the', 'pile', '.']",6
323,15,a,i've spoken about the pile,(L),i have spoken about the pile.,"['i', ""i've"", 'spoken', 'about', 'the', 'pile']","['i', 'have', 'spoken', 'about', 'the', 'pile', '.']",5
324,15,a,i've spoken about the pile,(L),i have spoken about the pile.,"['i', ""i've"", 'spoken', 'about', 'the', 'pile']","['i', 'have', 'spoken', 'about', 'the', 'pile', '.']",5
325,15,b,i'd spoken about the pile,(L),i have spoken about the pile.,"['i', ""i'd"", 'spoken', 'about', 'the', 'pile']","['i', 'have', 'spoken', 'about', 'the', 'pile', '.']",5
326,15,b,i spoke about the tile,(L),i have spoken about the pile.,"['i', 'spoke', 'about', 'the', 'tile']","['i', 'have', 'spoken', 'about', 'the', 'pile', '.']",3
327,15,b,they have a problem with the limb,(L),i have spoken about the pile.,"['they', 'have', 'a', 'problem', 'with', 'the', 'limb']","['i', 'have', 'spoken', 'about', 'the', 'pile', '.']",2
329,15,b,ann was interested in the breath,(L),i have spoken about the pile.,"['ann', 'was', 'interested', 'in', 'the', 'breath']","['i', 'have', 'spoken', 'about', 'the', 'pile', '.']",1
328,15,b,bill had tom called about the coach,(L),i have spoken about the pile.,"['bill', 'had', 'tom', 'called', 'about', 'the', 'coach']","['i', 'have', 'spoken', 'about', 'the', 'pile', '.']",2
144,16,a,jane have a problem with a kind,(L),jane has a problem with the coin.,"['jane', 'have', 'a', 'problem', 'with', 'a', 'kind']","['jane', 'has', 'a', 'problem', 'with', 'the', 'coin', '.']",5
142,16,a,chain has a problem with a coin.,(L),jane has a problem with the coin.,"['chain', 'has', 'a', 'problem', 'with', 'a', 'coin', '.']","['jane', 'has', 'a', 'problem', 'with', 'the', 'coin', '.']",7
143,16,a,jane has a problem with a coin,(L),jane has a problem with the coin.,"['jane', 'has', 'a', 'problem', 'with', 'a', 'coin']","['jane', 'has', 'a', 'problem', 'with', 'the', 'coin', '.']",7
145,16,b,after his bath he wore a robe,(L),jane has a problem with the coin.,"['after', 'his', 'bath', 'he', 'wore', 'a', 'robe']","['jane', 'has', 'a', 'problem', 'with', 'the', 'coin', '.']",1
149,16,b,will might discuss defoe,(L),jane has a problem with the coin.,"['will', 'might', 'discuss', 'defne']","['jane', 'has', 'a', 'problem', 'with', 'the', 'coin', '.']",0
147,16,b,the old man thinks about the mast,(L),jane has a problem with the coin.,"['the', 'old', 'man', 'thinks', 'about', 'the', 'mast']","['jane', 'has', 'a', 'problem', 'with', 'the', 'coin', '.']",2
148,16,b,the bomb exploded with a blast,(L),jane has a problem with the coin.,"['the', 'bomb', 'exploded', 'with', 'a', 'blast']","['jane', 'has', 'a', 'problem', 'with', 'the', 'coin', '.']",3
141,16,a,jane has a problem with a coin.,(L),jane has a problem with the coin.,"['jane', 'has', 'a', 'problem', 'with', 'a', 'coin', '.']","['jane', 'has', 'a', 'problem', 'with', 'the', 'coin', '.']",8
146,16,b,jane has a problem with a coin,(L),jane has a problem with the coin.,"['jane', 'has', 'a', 'problem', 'with', 'a', 'coin']","['jane', 'has', 'a', 'problem', 'with', 'the', 'coin', '.']",7
140,16,a,jane has a problem with the coin,(L),jane has a problem with the coin.,"['jane', 'has', 'a', 'problem', 'with', 'the', 'coin']","['jane', 'has', 'a', 'problem', 'with', 'the', 'coin', '.']",7
18,17,b,we should have considered the juice,(H),the bomb exploded with a blast.,"['we', 'should', 'have', 'considered', 'the', 'juice']","['the', 'bomb', 'exploded', 'with', 'a', 'blast', '.']",1
11,17,a,the bomb exploded with a blast.,(H),the bomb exploded with a blast.,"['the', 'bomb', 'exploded', 'with', 'a', 'blast', '.']","['the', 'bomb', 'exploded', 'with', 'a', 'blast', '.']",7
12,17,a,the bomb exploded the glass.,(H),the bomb exploded with a blast.,"['the', 'bomb', 'exploded', 'the', 'glass', '.']","['the', 'bomb', 'exploded', 'with', 'a', 'blast', '.']",5
13,17,a,the bomb exploded with a blast,(H),the bomb exploded with a blast.,"['the', 'bomb', 'exploded', 'with', 'a', 'blast']","['the', 'bomb', 'exploded', 'with', 'a', 'blast', '.']",6
14,17,a,the bomb expolded with a blast,(H),the bomb exploded with a blast.,"['the', 'bomb', 'exploded', 'with', 'a', 'blast']","['the', 'bomb', 'exploded', 'with', 'a', 'blast', '.']",6
15,17,b,we should have considered the juice,(H),the bomb exploded with a blast.,"['we', 'should', 'have', 'considered', 'the', 'juice']","['the', 'bomb', 'exploded', 'with', 'a', 'blast', '.']",1
16,17,b,the bomb explored with blast,(H),the bomb exploded with a blast.,"['the', 'bomb', 'explored', 'with', 'blast']","['the', 'bomb', 'exploded', 'with', 'a', 'blast', '.']",4
17,17,b,a bomb is exploding for the blast,(H),the bomb exploded with a blast.,"['a', 'bomb', 'is', 'exploding', 'for', 'the', 'blast']","['the', 'bomb', 'exploded', 'with', 'a', 'blast', '.']",4
19,17,b,a rose bush has prickly thorns,(H),the bomb exploded with a blast.,"['a', 'rose', 'bush', 'has', 'prickly', 'thorns']","['the', 'bomb', 'exploded', 'with', 'a', 'blast', '.']",1
10,17,a,the bomb exploded with a blast,(H),the bomb exploded with a blast.,"['the', 'bomb', 'exploded', 'with', 'a', 'blast']","['the', 'bomb', 'exploded', 'with', 'a', 'blast', '.']",6
0,18,a,mary could not discuss the thing,(L),mary could not discuss the tack.,"['mary', 'could', 'not', 'discuss', 'the', 'thing']","['mary', 'could', 'not', 'discuss', 'the', 'tack', '.']",5
