(H);A rose bush has prickly thorns.;n1
(L);We should have considered the juice.;n2
(H);The fruit was shipped in wooden crates.;n3
(L);Bob could have known about the spoon.;n4
(H);Ruth poured the water down the drain.;n5
(H);The boy gave the football a kick.;n6
(L);Bill might discuss the foam.;n7
(H);The cop wore a bullet-proof vest.;n8
(L);Tom could not discuss the barn.;n9
(L);You were considering the gang.;n10
(H);After his bath he wore a robe.;n11
(L);"Nancy should consider the fist.					";n12
(H);I cannot guess, so give me a hint.;n13
(H);The soup was served in a bowl.;n14
(L);I have spoken about the pile.;n15
(L);Jane has a problem with the coin.;n16
(H);The bomb exploded with a blast.;n17
(L);Mary could not discuss the tack.;n18
(L);They have a problem with the limb.;n19
(L);Nancy had considered the sleeves.;n20
(H);"Lubricate the bike with grease.					";n21
(H);"The farmer harvested his crop.	";n22
(L);Bill heard Tom called about the coach.;n23
(H);They marched to the beat of the drum.;n24
(H);No one was injured in the crash.;n25
(L);The old man thinks about the mast.;n26
(H);The sailor swabbed the deck.;n27
(L);Tom will discuss the swan.;n28
(L);Ann was interested in the breath.;n29
(H);This nozzle sprays a fine mist.;n30
(L);Ruth hopes he heard about the hips.;n31
(L);Tom is talking about the fee.;n32